temperature,humidity
2024-12-06 18:21:59,26.00,34.00
2024-12-06 18:22:05,26.00,34.00
2024-12-06 18:22:10,26.00,34.00
2024-12-06 18:22:16,26.00,34.00
2024-12-06 18:22:22,26.00,34.00
2024-12-06 18:22:27,26.00,34.00
2024-12-06 18:22:33,26.00,34.00
2024-12-06 18:22:39,26.00,34.00
2024-12-06 18:22:44,26.00,34.00
2024-12-06 18:22:50,26.00,34.00
2024-12-06 18:22:56,26.00,34.00
2024-12-06 18:23:01,26.00,34.00
2024-12-06 18:23:07,26.00,34.00
2024-12-06 18:23:13,26.00,34.00
2024-12-06 18:23:18,26.00,34.00
2024-12-06 18:23:24,26.00,34.00
2024-12-06 18:23:29,26.00,34.00
2024-12-06 18:23:35,26.00,34.00
2024-12-06 18:23:41,26.00,34.00
2024-12-06 18:23:46,26.00,34.00
2024-12-06 18:23:52,26.00,34.00
2024-12-06 18:23:58,26.00,34.00
2024-12-06 18:24:03,26.00,34.00
2024-12-06 18:24:09,26.00,34.00
2024-12-06 18:24:15,26.00,34.00
2024-12-06 18:24:20,26.00,34.00
2024-12-06 18:24:26,26.00,34.00
2024-12-06 18:24:32,26.00,34.00
2024-12-06 18:24:37,26.00,34.00
2024-12-06 18:24:43,26.00,34.00
2024-12-06 18:24:48,26.00,34.00
2024-12-06 18:24:54,26.00,34.00
2024-12-06 18:25:00,26.00,34.00
2024-12-06 18:25:05,26.00,34.00
2024-12-06 18:25:11,26.00,34.00
2024-12-06 18:25:17,26.00,34.00
2024-12-06 18:25:22,26.00,34.00
2024-12-06 18:25:28,26.00,34.00
2024-12-06 18:25:34,26.00,33.00
2024-12-06 18:25:40,26.00,33.00
2024-12-06 18:25:45,26.00,34.00
2024-12-06 18:25:51,26.00,33.00
2024-12-06 18:25:57,26.00,34.00
2024-12-06 18:26:04,26.00,34.00
2024-12-06 18:26:10,26.00,33.00
2024-12-06 18:26:16,26.00,33.00
2024-12-06 18:26:22,26.00,34.00
2024-12-06 18:26:30,26.00,40.00
2024-12-06 18:26:35,24.00,44.00
2024-12-06 18:26:41,26.00,34.00
2024-12-06 18:26:47,26.00,34.00
2024-12-06 18:26:52,26.00,34.00
2024-12-06 18:26:58,26.00,34.00
2024-12-06 18:27:04,26.00,34.00
2024-12-06 18:27:09,26.00,34.00
2024-12-06 18:27:15,26.00,34.00
2024-12-06 18:27:21,26.00,34.00
2024-12-06 18:27:26,26.00,34.00
2024-12-06 18:27:32,26.00,34.00
2024-12-06 18:27:38,26.00,34.00
2024-12-06 18:27:43,26.00,34.00
2024-12-06 18:27:49,26.00,34.00
2024-12-06 18:27:54,26.00,33.00
2024-12-06 18:28:00,26.00,34.00
2024-12-06 18:28:06,26.00,34.00
2024-12-06 18:28:11,26.00,34.00
2024-12-06 18:28:17,26.00,34.00
2024-12-06 18:28:23,26.00,34.00
2024-12-06 18:28:28,26.00,34.00
2024-12-06 18:28:34,26.00,34.00
2024-12-06 18:28:40,26.00,34.00
2024-12-06 18:28:45,26.00,34.00
2024-12-06 18:28:51,26.00,34.00
2024-12-06 18:28:57,26.00,33.00
2024-12-06 18:29:02,26.00,34.00
2024-12-06 18:29:08,26.00,34.00
2024-12-06 18:29:13,26.00,34.00
2024-12-06 18:29:19,26.00,34.00
2024-12-06 18:29:25,26.00,34.00
2024-12-06 18:29:30,26.00,34.00
2024-12-06 18:29:36,26.00,33.00
2024-12-06 18:29:42,26.00,34.00
2024-12-06 18:29:50,26.00,34.00
2024-12-06 18:29:56,26.00,34.00
2024-12-06 18:30:01,26.00,34.00
2024-12-06 18:30:07,26.00,34.00
2024-12-06 18:30:13,26.00,34.00
2024-12-06 13:31:39,26.00,34.00
2024-12-06 13:31:45,26.00,34.00
2024-12-06 13:31:50,26.00,34.00
2024-12-06 13:31:56,26.00,34.00
2024-12-06 13:32:01,26.00,34.00
